EmployeeID,TrainingHoursCompleted,CertificationsEarned,InternalJobApplications,PromotionEligibilityStatus,MentorshipParticipation,SkillAssessmentScores
111065,107,4,2,No,No,77
106080,56,3,0,No,No,82
106452,97,1,2,No,No,97
106325,19,2,1,No,No,90
111171,111,0,0,No,No,62
106419,76,0,2,No,No,92
100309,65,3,2,Yes,Yes,94
110500,25,2,1,Yes,Yes,74
110533,107,4,0,No,Yes,91
110927,87,2,0,No,No,85
105548,91,3,2,Yes,Yes,76
111354,79,3,0,No,No,87
100895,79,2,2,No,No,56
110783,92,3,0,No,No,54
105507,104,2,2,No,No,92
106710,108,1,0,No,No,94
101236,28,2,1,No,No,80
105985,7,2,0,No,No,72
111202,26,3,0,Yes,No,91
100621,57,3,1,No,Yes,59
100301,6,0,0,No,Yes,81
101120,92,0,1,No,No,92
101124,112,1,0,No,No,79
110788,34,0,2,No,Yes,88
105394,42,2,2,No,No,80
101226,6,3,0,Yes,No,67
105911,68,0,0,No,No,85
110566,64,0,0,No,No,51
106577,25,1,2,No,No,63
106473,37,1,0,Yes,No,62
100603,80,2,2,No,No,78
106411,62,3,1,No,No,61
100730,26,1,2,No,No,88
106540,112,0,2,No,No,51
106529,93,3,1,Yes,Yes,81
110848,53,3,2,No,No,62
105437,95,0,0,No,Yes,95
110342,63,1,0,Yes,Yes,76
110552,46,0,2,No,No,98
111140,96,3,0,No,No,90
100373,64,4,2,No,No,66
106561,84,4,0,Yes,Yes,89
110363,19,2,0,No,No,80
101682,66,0,2,Yes,No,83
105543,66,0,0,No,No,73
101626,51,2,2,Yes,No,94
110505,66,2,0,No,No,84
106141,55,2,0,No,Yes,97
111250,112,3,1,No,No,55
105390,59,0,1,No,Yes,68
100381,68,3,2,Yes,Yes,79
105634,7,2,1,No,No,56
100826,105,0,2,No,Yes,59
110407,55,3,1,No,No,90
101188,11,3,0,Yes,Yes,81
105820,25,2,2,Yes,No,83
111184,77,0,2,Yes,Yes,77
111302,43,2,0,No,No,64
111533,22,0,2,No,No,79
106660,8,4,2,No,Yes,86
105937,93,1,1,Yes,No,78
101053,64,1,2,No,No,71
111692,18,1,0,No,No,53
111397,118,2,1,No,Yes,69
100674,13,4,1,Yes,No,81
110454,94,0,0,No,No,85
100769,57,3,0,Yes,No,99
105779,6,0,1,No,No,53
110642,88,3,2,No,No,76
110524,96,0,1,Yes,Yes,66
106501,115,4,0,No,No,61
105688,64,3,1,Yes,No,71
110612,75,2,0,No,Yes,66
110478,48,0,1,No,No,59
105370,12,0,2,No,No,50
100852,51,3,1,No,No,71
106462,39,2,1,No,No,75
101163,82,2,0,No,No,67
110312,85,4,0,No,No,99
100942,40,2,0,No,No,63
106620,54,2,1,No,Yes,96
105538,108,2,2,No,No,78
