EmployeeID,JobSatisfactionScore,WorkLifeBalanceRating,ManagerSatisfactionScore,CareerGrowthSatisfaction,CompensationSatisfaction,WorkEnvironmentSatisfaction,source,frequency
111065,4,3,1,4,4,5,Employee Surveys/Feedback Forms,Quarterly surveys
106080,4,5,2,5,3,3,Employee Surveys/Feedback Forms,Quarterly surveys
106452,3,4,3,3,5,4,Employee Surveys/Feedback Forms,Quarterly surveys
106325,3,5,3,2,2,3,Employee Surveys/Feedback Forms,Quarterly surveys
111171,4,5,2,2,5,5,Employee Surveys/Feedback Forms,Quarterly surveys
106419,2,1,2,5,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
100309,2,1,4,2,3,4,Employee Surveys/Feedback Forms,Quarterly surveys
110500,4,3,3,5,3,5,Employee Surveys/Feedback Forms,Quarterly surveys
110533,3,2,3,4,3,4,Employee Surveys/Feedback Forms,Quarterly surveys
110927,3,5,4,5,1,3,Employee Surveys/Feedback Forms,Quarterly surveys
105548,2,5,3,4,1,5,Employee Surveys/Feedback Forms,Quarterly surveys
111354,3,4,5,2,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
100895,1,3,4,5,4,5,Employee Surveys/Feedback Forms,Quarterly surveys
110783,4,1,2,3,4,5,Employee Surveys/Feedback Forms,Quarterly surveys
105507,2,2,4,5,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
106710,4,4,1,5,3,4,Employee Surveys/Feedback Forms,Quarterly surveys
101236,3,5,4,3,2,3,Employee Surveys/Feedback Forms,Quarterly surveys
105985,3,2,5,5,3,3,Employee Surveys/Feedback Forms,Quarterly surveys
111202,4,5,4,5,5,5,Employee Surveys/Feedback Forms,Quarterly surveys
100621,5,5,5,2,3,5,Employee Surveys/Feedback Forms,Quarterly surveys
100301,5,5,2,3,3,2,Employee Surveys/Feedback Forms,Quarterly surveys
101120,5,2,4,2,5,3,Employee Surveys/Feedback Forms,Quarterly surveys
101124,5,4,5,5,2,3,Employee Surveys/Feedback Forms,Quarterly surveys
110788,2,3,1,2,2,5,Employee Surveys/Feedback Forms,Quarterly surveys
105394,5,1,2,2,3,4,Employee Surveys/Feedback Forms,Quarterly surveys
101226,5,4,2,1,3,2,Employee Surveys/Feedback Forms,Quarterly surveys
105911,1,4,5,5,5,4,Employee Surveys/Feedback Forms,Quarterly surveys
110566,5,2,3,5,4,2,Employee Surveys/Feedback Forms,Quarterly surveys
106577,2,4,1,4,2,5,Employee Surveys/Feedback Forms,Quarterly surveys
106473,2,3,5,4,2,2,Employee Surveys/Feedback Forms,Quarterly surveys
100603,5,4,1,1,4,5,Employee Surveys/Feedback Forms,Quarterly surveys
106411,3,2,3,2,4,5,Employee Surveys/Feedback Forms,Quarterly surveys
100730,1,2,5,3,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
106540,4,1,4,2,1,3,Employee Surveys/Feedback Forms,Quarterly surveys
106529,3,5,1,2,2,5,Employee Surveys/Feedback Forms,Quarterly surveys
110848,2,5,4,5,2,2,Employee Surveys/Feedback Forms,Quarterly surveys
105437,2,5,3,3,3,5,Employee Surveys/Feedback Forms,Quarterly surveys
110342,4,5,3,1,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
110552,3,2,1,4,3,3,Employee Surveys/Feedback Forms,Quarterly surveys
111140,1,2,5,1,3,2,Employee Surveys/Feedback Forms,Quarterly surveys
100373,3,4,2,5,4,4,Employee Surveys/Feedback Forms,Quarterly surveys
106561,4,3,5,2,5,2,Employee Surveys/Feedback Forms,Quarterly surveys
110363,5,4,3,2,4,4,Employee Surveys/Feedback Forms,Quarterly surveys
101682,4,4,1,4,2,5,Employee Surveys/Feedback Forms,Quarterly surveys
105543,4,2,2,2,5,5,Employee Surveys/Feedback Forms,Quarterly surveys
101626,1,1,2,4,4,2,Employee Surveys/Feedback Forms,Quarterly surveys
110505,4,4,5,2,3,5,Employee Surveys/Feedback Forms,Quarterly surveys
106141,3,3,3,2,2,5,Employee Surveys/Feedback Forms,Quarterly surveys
111250,4,2,2,2,4,5,Employee Surveys/Feedback Forms,Quarterly surveys
105390,2,4,4,2,3,4,Employee Surveys/Feedback Forms,Quarterly surveys
100381,3,5,1,4,4,3,Employee Surveys/Feedback Forms,Quarterly surveys
105634,3,3,3,3,4,4,Employee Surveys/Feedback Forms,Quarterly surveys
100826,2,3,4,2,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
110407,2,3,5,5,3,5,Employee Surveys/Feedback Forms,Quarterly surveys
101188,3,1,4,2,1,2,Employee Surveys/Feedback Forms,Quarterly surveys
105820,4,4,5,2,4,5,Employee Surveys/Feedback Forms,Quarterly surveys
111184,4,2,5,4,3,5,Employee Surveys/Feedback Forms,Quarterly surveys
111302,4,3,4,4,4,5,Employee Surveys/Feedback Forms,Quarterly surveys
111533,2,5,3,4,1,5,Employee Surveys/Feedback Forms,Quarterly surveys
106660,2,5,4,3,3,4,Employee Surveys/Feedback Forms,Quarterly surveys
105937,4,1,4,4,2,5,Employee Surveys/Feedback Forms,Quarterly surveys
101053,3,4,3,4,4,4,Employee Surveys/Feedback Forms,Quarterly surveys
111692,2,2,5,1,1,4,Employee Surveys/Feedback Forms,Quarterly surveys
111397,1,4,3,3,5,4,Employee Surveys/Feedback Forms,Quarterly surveys
100674,3,3,2,4,4,4,Employee Surveys/Feedback Forms,Quarterly surveys
110454,2,3,2,3,2,5,Employee Surveys/Feedback Forms,Quarterly surveys
100769,5,5,1,4,4,2,Employee Surveys/Feedback Forms,Quarterly surveys
105779,5,2,3,4,3,4,Employee Surveys/Feedback Forms,Quarterly surveys
110642,3,5,2,5,2,5,Employee Surveys/Feedback Forms,Quarterly surveys
110524,2,3,5,2,3,5,Employee Surveys/Feedback Forms,Quarterly surveys
106501,2,3,4,4,5,2,Employee Surveys/Feedback Forms,Quarterly surveys
105688,1,5,1,2,1,5,Employee Surveys/Feedback Forms,Quarterly surveys
110612,3,3,1,2,5,5,Employee Surveys/Feedback Forms,Quarterly surveys
110478,2,5,3,3,3,5,Employee Surveys/Feedback Forms,Quarterly surveys
105370,1,2,3,4,5,2,Employee Surveys/Feedback Forms,Quarterly surveys
100852,3,5,2,4,2,3,Employee Surveys/Feedback Forms,Quarterly surveys
106462,3,4,4,1,1,4,Employee Surveys/Feedback Forms,Quarterly surveys
101163,3,1,2,4,1,4,Employee Surveys/Feedback Forms,Quarterly surveys
110312,3,2,3,5,4,3,Employee Surveys/Feedback Forms,Quarterly surveys
100942,5,4,2,5,4,4,Employee Surveys/Feedback Forms,Quarterly surveys
106620,2,4,5,4,4,3,Employee Surveys/Feedback Forms,Quarterly surveys
105538,2,4,2,3,5,4,Employee Surveys/Feedback Forms,Quarterly surveys
100515,1,5,1,4,4,5,Employee Surveys/Feedback Forms,Quarterly surveys
106245,2,2,1,2,4,4,Employee Surveys/Feedback Forms,Quarterly surveys
110699,4,2,4,4,1,3,Employee Surveys/Feedback Forms,Quarterly surveys
105678,3,1,3,4,1,5,Employee Surveys/Feedback Forms,Quarterly surveys
111089,5,2,3,3,3,3,Employee Surveys/Feedback Forms,Quarterly surveys
110423,2,4,4,5,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
110646,1,3,3,4,5,2,Employee Surveys/Feedback Forms,Quarterly surveys
105419,2,4,1,2,3,4,Employee Surveys/Feedback Forms,Quarterly surveys
100597,2,3,1,3,5,4,Employee Surveys/Feedback Forms,Quarterly surveys
100992,5,2,3,4,3,4,Employee Surveys/Feedback Forms,Quarterly surveys
101306,4,2,3,3,3,5,Employee Surveys/Feedback Forms,Quarterly surveys
100919,5,1,2,3,3,2,Employee Surveys/Feedback Forms,Quarterly surveys
106638,2,2,5,2,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
105429,5,2,4,2,2,5,Employee Surveys/Feedback Forms,Quarterly surveys
110932,2,4,5,4,3,4,Employee Surveys/Feedback Forms,Quarterly surveys
100760,2,4,5,1,5,3,Employee Surveys/Feedback Forms,Quarterly surveys
100639,2,3,3,5,3,3,Employee Surveys/Feedback Forms,Quarterly surveys
111049,4,2,1,4,5,2,Employee Surveys/Feedback Forms,Quarterly surveys
111157,4,2,5,5,2,5,Employee Surveys/Feedback Forms,Quarterly surveys
100957,3,1,4,4,3,3,Employee Surveys/Feedback Forms,Quarterly surveys
111083,4,5,4,4,1,5,Employee Surveys/Feedback Forms,Quarterly surveys
110793,2,5,1,3,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
105969,2,4,5,5,5,2,Employee Surveys/Feedback Forms,Quarterly surveys
111235,5,4,3,1,2,2,Employee Surveys/Feedback Forms,Quarterly surveys
101192,4,2,5,4,3,2,Employee Surveys/Feedback Forms,Quarterly surveys
100610,2,4,3,5,2,3,Employee Surveys/Feedback Forms,Quarterly surveys
111209,4,4,4,4,3,5,Employee Surveys/Feedback Forms,Quarterly surveys
100350,2,5,2,3,5,4,Employee Surveys/Feedback Forms,Quarterly surveys
110652,2,3,3,5,2,2,Employee Surveys/Feedback Forms,Quarterly surveys
101407,4,3,2,2,4,5,Employee Surveys/Feedback Forms,Quarterly surveys
101389,3,4,4,4,4,5,Employee Surveys/Feedback Forms,Quarterly surveys
111290,4,3,5,5,3,3,Employee Surveys/Feedback Forms,Quarterly surveys
101037,4,3,2,4,2,4,Employee Surveys/Feedback Forms,Quarterly surveys
106436,5,5,2,1,1,2,Employee Surveys/Feedback Forms,Quarterly surveys
